"tractNum","SB535_DAC","SB535adjacent","AB1550_LowInc","HPI_DAC"
6059062643,"No","No","No","No"
6059042320,"No","No","No","No"
6037141303,"No","No","No","No"
6037186202,"No","No","No","No"
6037188202,"No","No","No","No"
6037189905,"No","No","No","No"
6001404700,"No","No","No","No"
6001404800,"No","No","Yes","No"
6001405200,"No","No","No","No"
6001450750,"No","No","No","No"
6001451403,"No","No","No","No"
6019004405,"No","No","No","No"
6037602504,"Yes","No","Yes","Yes"
6037241002,"Yes","No","Yes","Yes"
6037262604,"No","No","No","No"
6037262802,"No","No","No","No"
6037267403,"No","No","No","No"
6019005301,"Yes","No","Yes","Yes"
6019005305,"Yes","No","Yes","Yes"
6001405100,"No","No","No","No"
6001404900,"No","No","No","No"
6037980003,"No","No","No",NA
6037980007,"No","No","No",NA
6037980009,"Yes","No","No",NA
6037296901,"Yes","No","Yes","No"
6037123902,"No","No","No","No"
6037134522,"Yes","No","Yes","No"
6037192001,"No","No","No","No"
6037211122,"Yes","No","Yes","No"
6037104822,"Yes","No","Yes","No"
6059063808,"No","No","Yes","No"
6059062645,"No","No","No","No"
6059088702,"No","No","Yes","No"
6097151602,"No","No","No","No"
6097150607,"No","No","No","No"
6097150610,"No","No","No","No"
6097153809,"No","No","No","No"
6097153104,"No","No","Yes","No"
6001405401,"Yes","No","Yes","No"
6013302010,"No","No","No","No"
6065043822,"No","No","No","No"
6065043823,"No","No","No","No"
6065044517,"No","No","No","No"
6065044520,"No","No","No","No"
6065044606,"No","No","Yes","Yes"
6065045121,"No","No","No","No"
6037650604,"No","No","Yes","No"
6037901210,"No","No","Yes","No"
6037910101,"No","No","Yes","Yes"
6037271901,"No","No","No","No"
6037302003,"Yes","No","Yes","No"
6037115103,"No","No","No",NA
6037125401,"No","No","No","No"
6037127605,"Yes","No","Yes","No"
6037400404,"No","No","No","No"
6113010402,"No","No","No","No"
6007001703,"No","No","Yes","No"
6037117102,"No","No","Yes","No"
6037120106,"Yes","No","Yes","Yes"
6037122121,"Yes","No","Yes","Yes"
6037124204,"Yes","No","Yes","No"
6007001704,"No","No","Yes","No"
6007002601,"No","No","No","No"
6007002602,"No","No","Yes","No"
6007003002,"No","No","Yes","Yes"
6007003501,"No","No","No","No"
6007003700,"Yes","No","Yes","Yes"
6073017813,"No","No","No","No"
6073990100,"No","No","No",NA
6073017054,"No","No","No","No"
6073017053,"No","No","No","No"
6001451703,"No","No","No","No"
6001990000,"No","No","No",NA
6013355117,"No","No","No","No"
6085503329,"No","No","No","No"
6085512032,"No","No","No","No"
6085512033,"No","No","No","No"
6085511916,"No","No","No","No"
6001442302,"No","No","No","No"
6001406602,"No","No","Yes","No"
6001407101,"No","No","Yes","Yes"
6001407102,"No","No","Yes","No"
6001432501,"Yes","No","Yes","No"
6065045222,"No","No","No","No"
6065045228,"No","No","No","No"
6065045609,"No","No","Yes","Yes"
6065046900,"No","No","Yes","Yes"
6065047202,"No","No","Yes","Yes"
6065045125,"No","No","No","No"
6065048100,"No","No","No","No"
6065049700,"No","No","No","No"
6065050300,"No","No","No","No"
6065050600,"No","No","No","No"
6065050700,"No","No","No","No"
6065981000,"No","No","No",NA
6065051200,"No","No","No","No"
6065043274,"No","No","No","No"
6065043291,"No","No","No","No"
6065043513,"No","No","Yes","Yes"
6065043517,"Yes","No","No","No"
6001406201,"Yes","No","Yes","Yes"
6059099225,"No","No","No","No"
6061021123,"No","No","No","No"
6067007421,"No","No","No","No"
6067007422,"No","No","Yes","Yes"
6087101200,"No","No","Yes","No"
6059099223,"No","No","Yes","No"
6059099224,"No","No","No","No"
6061022014,"No","No","No","No"
6061022011,"No","No","No","No"
6061022013,"No","No","No","No"
6061020402,"No","No","No","No"
6061020502,"No","No","No","No"
6061021204,"No","No","No","No"
6061021604,"No","No","No","No"
6061020714,"No","No","No","No"
6061021322,"No","No","No","No"
6061021309,"No","No","No","No"
6061021603,"No","No","Yes","Yes"
6061021122,"No","No","No","No"
6061020710,"No","No","No","No"
6061021043,"No","No","No","No"
6067005901,"No","No","No","No"
6067006002,"No","No","Yes","No"
6067006003,"No","No","Yes","Yes"
6067006101,"Yes","No","Yes","No"
6067006102,"No","No","Yes","Yes"
6067006201,"Yes","No","Yes","Yes"
6059099604,"No","No","No","No"
6059099605,"No","No","No","No"
6059110104,"No","No","Yes","No"
6067007601,"No","No","No","No"
6067007701,"No","No","Yes","No"
6067007702,"No","No","No","No"
6067007801,"No","No","Yes","No"
6067007802,"No","No","No","No"
6067007904,"No","No","No","No"
6067007905,"No","No","No","No"
6037701702,"No","No","Yes","No"
6067006202,"Yes","No","Yes","Yes"
6067006300,"Yes","No","Yes","Yes"
6067006400,"Yes","No","Yes","Yes"
6037701801,"Yes","No","Yes","No"
6037701802,"No","No","No","No"
6037702201,"No","No","No","No"
6111001401,"No","No","No","No"
6089011802,"No","No","No","No"
6089011701,"No","No","No","No"
6089011001,"No","No","No","No"
6089012603,"No","No","Yes","No"
6089010806,"No","No","Yes","No"
6067006500,"No","No","Yes","Yes"
6067006701,"No","No","Yes","No"
6067006702,"Yes","No","Yes","Yes"
6037702901,"No","No","No","No"
6037703001,"No","No","No","No"
6037703002,"No","No","No","No"
6037703100,"No","No","No","No"
6077005109,"Yes","No","Yes","Yes"
6067008005,"No","No","No","No"
6067008006,"No","No","No","No"
6067008007,"No","No","No","No"
6067008009,"No","No","No","No"
6077005113,"No","No","No","No"
6077005114,"Yes","No","No","No"
6059086402,"Yes","No","Yes","No"
6059086404,"Yes","No","Yes","No"
6059086406,"Yes","No","Yes","No"
6059086407,"Yes","No","Yes","No"
6067008010,"No","No","No","No"
6067008111,"No","No","No","No"
6067008113,"No","No","Yes","No"
6067008117,"No","No","No","No"
6067008119,"No","No","No","No"
6067008120,"No","No","Yes","No"
6059086501,"Yes","No","Yes","Yes"
6059086502,"Yes","No","Yes","Yes"
6111001001,"No","No","Yes","No"
6059088107,"No","No","Yes","No"
6059088201,"No","No","Yes","Yes"
6059088202,"No","No","Yes","No"
6059088203,"No","No","Yes","Yes"
6059088301,"No","No","Yes","No"
6067006900,"Yes","No","Yes","Yes"
6067007001,"Yes","No","Yes","Yes"
6067007004,"No","No","Yes","No"
6039000800,"Yes","No","Yes","Yes"
6037402304,"Yes","No","Yes","Yes"
6037208301,"Yes","No","Yes","Yes"
6067007007,"Yes","No","Yes","No"
6037219901,"Yes","No","Yes","Yes"
6059099226,"No","No","No","No"
6067007501,"No","No","Yes","Yes"
6067007503,"No","No","Yes","No"
6067007504,"No","No","Yes","No"
6039000900,"Yes","No","Yes","Yes"
6037551401,"Yes","No","Yes","No"
6037651401,"No","No","No","No"
6037670324,"No","No","No","No"
6037670602,"No","No","No","No"
6059099246,"No","No","No","No"
6059099701,"No","No","Yes","No"
6067007010,"No","No","No","No"
6067007011,"No","No","Yes","No"
6067007012,"No","No","No","No"
6067007013,"No","No","No","No"
6019005515,"No","No","No","No"
6059110106,"No","No","No","No"
6067007014,"No","No","No","No"
6067007202,"No","No","Yes","No"
6077005123,"Yes","No","No","No"
6077005125,"No","No","No","No"
6077005126,"Yes","No","Yes","No"
6077005303,"No","No","Yes","No"
6077005305,"Yes","No","No","No"
6077005403,"No","No","No","No"
6111006100,"No","No","No","No"
6111006200,"No","No","No","No"
6111006302,"No","No","No","No"
6059074803,"No","No","Yes","No"
6059075607,"No","No","No","No"
6059075701,"No","No","No","No"
6059075805,"No","No","Yes","Yes"
6059086601,"Yes","No","Yes","Yes"
6111006500,"No","No","Yes","No"
6111007700,"No","No","No","No"
6111007903,"No","No","No","No"
6111007904,"No","No","No","No"
6059086701,"Yes","No","Yes","No"
6059086702,"Yes","No","Yes","No"
6059086801,"No","No","Yes","No"
6059086602,"Yes","No","Yes","No"
6059088302,"No","No","No","No"
6059088401,"No","No","Yes","No"
6059088402,"No","No","Yes","No"
6059088403,"No","No","Yes","No"
6059088501,"Yes","No","Yes","No"
6059088802,"Yes","No","Yes","No"
6059088901,"No","No","Yes","No"
6059099227,"No","No","Yes","No"
6059099229,"No","No","Yes","No"
6059099230,"No","No","No","No"
6059099231,"No","No","No","No"
6059099232,"No","No","No","No"
6059099702,"No","No","Yes","No"
6059110108,"No","No","No","No"
6059110109,"No","No","No","No"
6059074405,"Yes","No","Yes","Yes"
6037407602,"Yes","No","Yes","No"
6111006600,"No","No","No","No"
6059074901,"Yes","No","Yes","Yes"
6059075806,"No","No","Yes","No"
6037190201,"Yes","No","Yes","Yes"
6059075807,"No","No","Yes","No"
6059075808,"No","No","No","No"
6059075810,"No","No","No","No"
6059086802,"Yes","No","Yes","No"
6059086901,"No","No","Yes","Yes"
6059086902,"No","No","Yes","No"
6059086803,"No","No","Yes","No"
6059086903,"No","No","Yes","No"
6059088601,"No","No","Yes","No"
6059088602,"No","No","Yes","No"
6059088502,"No","No","Yes","No"
6059088903,"No","No","Yes","No"
6059088904,"No","No","Yes","No"
6059088905,"No","No","Yes","No"
6059088902,"No","No","Yes","No"
6059099235,"No","No","No","No"
6059099237,"No","No","No","No"
6059099238,"No","No","No","No"
6037188100,"Yes","No","Yes","No"
6037188300,"No","No","No","No"
6059099234,"No","No","No","No"
6059099249,"No","No","Yes","Yes"
6037189300,"No","No","No","No"
6037189500,"No","No","No","No"
6037189902,"No","No","No","No"
6059099250,"No","No","No","No"
6059110110,"No","No","Yes","No"
6065042623,"No","No","No","No"
6065042729,"No","No","No","No"
6065042732,"No","No","No","No"
6059074406,"Yes","No","Yes","Yes"
6065043009,"No","No","No","No"
6065042620,"Yes","No","No","No"
6065043601,"No","No","Yes","Yes"
6065044404,"No","No","Yes","No"
6065049600,"No","No","No","No"
6065042726,"No","No","No","No"
6065940500,"No","No","No","No"
6065043317,"No","No","No","Yes"
6111006700,"No","No","No","No"
6111006800,"No","No","No","No"
6087101000,"No","No","Yes","No"
6059074502,"Yes","No","Yes","No"
6059075002,"Yes","No","Yes","Yes"
6059075003,"No","No","Yes","Yes"
6059075811,"No","No","Yes","No"
6059075812,"No","No","Yes","No"
6059075815,"No","No","Yes","No"
6059075816,"No","No","Yes","No"
6059075901,"No","No","Yes","No"
6059088701,"No","No","Yes","No"
6059088801,"No","No","Yes","No"
6037190100,"Yes","No","Yes","No"
6037199120,"Yes","No","Yes","Yes"
6037199201,"Yes","No","Yes","Yes"
6037199202,"Yes","No","Yes","No"
6037199300,"No","No","Yes","No"
6111006400,"No","No","No","No"
6111007506,"No","No","No","No"
6111008001,"No","No","No","No"
6111000100,"No","No","Yes",NA
6111000400,"No","No","Yes","No"
6037199400,"Yes","No","Yes","Yes"
6037199700,"Yes","No","Yes","Yes"
6037199800,"Yes","No","Yes","Yes"
6037199900,"Yes","No","Yes","Yes"
6037201110,"No","No","Yes","Yes"
6111000600,"No","No","Yes","Yes"
6111005401,"No","No","No","No"
6111000901,"No","No","No","No"
6111007300,"No","No","No","No"
6111007901,"No","No","No","No"
6111000800,"No","No","No","No"
6111000302,"No","No","Yes","No"
6111005911,"No","No","No","No"
6111007202,"No","No","No","No"
6111002300,"Yes","No","Yes","No"
6111001700,"No","No","No","No"
6111005100,"No","No","No","No"
6111001800,"No","No","No","No"
6111005907,"No","No","No","No"
6111001102,"No","No","Yes","No"
6111007402,"No","No","No","No"
6111000200,"No","No","Yes","No"
6111000902,"No","No","No","No"
6111001900,"No","No","No","No"
6111001002,"No","No","No","No"
6055201900,"No","No","No",NA
6055201500,"No","No","No","No"
6055200703,"No","No","No","No"
6055200400,"No","No","No","No"
6055201700,"No","No","No","No"
6055200802,"No","No","No","No"
6037127104,"Yes","No","Yes","No"
6037127804,"Yes","No","Yes","No"
6037128102,"Yes","No","Yes","Yes"
6037134001,"Yes","No","Yes","Yes"
6111008005,"No","No","Yes","No"
6111000500,"No","No","Yes","No"
6059099703,"No","No","No","No"
6059110111,"No","No","No","No"
6067009900,"No","No","No","No"
6067000100,"No","No","No","No"
6067009606,"No","No","Yes","Yes"
6037208802,"Yes","No","Yes","Yes"
6029006100,"No","No","Yes","No"
6037215102,"No","No","Yes","No"
6037217002,"No","No","No","No"
6037221303,"Yes","No","Yes","Yes"
6037920102,"No","No","No","No"
6037920115,"No","No","No","No"
6111006900,"No","No","Yes","No"
6111007000,"No","No","Yes","No"
6111007100,"No","No","Yes","No"
6077004002,"No","No","No","No"
6059075902,"No","No","No","No"
6059076000,"No","No","Yes","No"
6037201120,"No","No","Yes","Yes"
6037201501,"Yes","No","Yes","Yes"
6037201700,"Yes","No","Yes","No"
6037203100,"Yes","No","Yes","Yes"
6037203300,"Yes","No","Yes","No"
6037203500,"Yes","No","Yes","Yes"
6037203600,"Yes","No","Yes","Yes"
6037203720,"Yes","No","Yes","Yes"
6075026303,"No","No","Yes","No"
6075026401,"No","No","Yes","No"
6075026402,"No","No","Yes","No"
6075026403,"No","No","Yes","No"
6075030101,"No","No","No","No"
6075030102,"No","No","No","No"
6075030201,"No","No","No","No"
6059099802,"Yes","No","Yes","Yes"
6059099803,"No","No","Yes","Yes"
6059110114,"No","No","No","No"
6037575801,"Yes","No","Yes","Yes"
6037651221,"No","No","Yes","No"
6037554600,"Yes","No","Yes","No"
6037620201,"No","No","No","No"
6075030301,"No","No","No","No"
6075030302,"No","No","No","No"
6075030400,"No","No","No","No"
6075060700,"No","No","No","No"
6059076101,"No","No","No","No"
6037189201,"Yes","No","Yes","No"
6037241201,"Yes","No","Yes","Yes"
6037702002,"No","No","No","No"
6037267901,"No","No","No","No"
6037269906,"No","No","No","No"
6081611700,"No","No","Yes","No"
6029006201,"Yes","No","Yes","Yes"
6037601501,"Yes","No","Yes","Yes"
6059110116,"No","No","No","No"
6075030500,"No","No","No","No"
6075030600,"No","No","No","No"
6075030700,"No","No","No","No"
6075030800,"No","No","No","No"
6059076102,"No","No","Yes","Yes"
6059076103,"No","No","Yes","No"
6037203900,"Yes","No","Yes","Yes"
6037204120,"Yes","No","Yes","Yes"
6037204300,"Yes","No","Yes","Yes"
6037204600,"Yes","No","Yes","Yes"
6037204700,"Yes","No","Yes","Yes"
6037204810,"Yes","No","Yes","Yes"
6037204820,"Yes","No","Yes","Yes"
6037204910,"Yes","No","Yes","Yes"
6037137201,"No","No","No","No"
6037137301,"No","No","No","No"
6037137302,"No","No","No","No"
6107002202,"Yes","No","Yes","Yes"
6059099902,"No","No","Yes","No"
6037137401,"No","No","No","No"
6037141302,"No","No","No","No"
6037141400,"No","No","No","No"
6037143100,"No","No","No","No"
6037535001,"Yes","No","Yes","Yes"
6037603005,"Yes","No","Yes","No"
6037104203,"Yes","No","Yes","Yes"
6037102107,"No","No","No","No"
6037620904,"No","No","No","No"
6095250106,"No","No","No","No"
6095250104,"No","No","No","No"
6037207710,"No","No","No","No"
6037207900,"No","No","No","No"
6037208000,"Yes","No","Yes","Yes"
6037208610,"Yes","No","Yes","Yes"
6037208620,"Yes","No","Yes","Yes"
6037208903,"Yes","No","Yes","Yes"
6037209102,"Yes","No","Yes","Yes"
6037209200,"Yes","No","Yes","Yes"
6037209300,"Yes","No","Yes","Yes"
6037210010,"Yes","No","Yes","Yes"
6037190510,"Yes","No","Yes","Yes"
6037190520,"Yes","No","Yes","No"
6037190700,"Yes","No","Yes","No"
6037190902,"Yes","No","Yes","Yes"
6037191000,"Yes","No","Yes","No"
6037191110,"Yes","No","Yes","Yes"
6037191120,"Yes","No","Yes","Yes"
6037191201,"Yes","No","Yes","Yes"
6037191420,"Yes","No","Yes","Yes"
6037191500,"Yes","No","Yes","Yes"
6037191610,"Yes","No","Yes","Yes"
6037191620,"Yes","No","Yes","Yes"
6037191710,"Yes","No","Yes","Yes"
6037191820,"Yes","No","Yes","No"
6037137402,"No","No","No","No"
6111000903,"No","No","Yes","No"
6111001101,"No","No","No","No"
6111001201,"No","No","Yes","No"
6111001202,"No","No","No","No"
6059052528,"No","No","No","No"
6059032043,"No","No","No","No"
6059042205,"No","No","No","No"
6059089107,"No","No","Yes","No"
6059021815,"No","No","No","No"
6059042324,"No","No","No","No"
6059052420,"No","No","No","No"
6059052423,"No","No","No","No"
6059052506,"No","No","No","No"
6059001706,"No","No","No","No"
6059021802,"No","No","Yes","No"
6059074501,"Yes","No","Yes","Yes"
6059032011,"No","No","No","No"
6059021821,"No","No","No","No"
6059075605,"No","No","No","No"
6059032014,"No","No","Yes","No"
6059032015,"No","No","No","No"
6111001301,"No","No","No","No"
6111001302,"No","No","Yes","No"
6059032020,"No","No","No","No"
6059032022,"No","No","Yes","No"
6059052502,"No","No","No","No"
6059052505,"No","No","No","No"
6059052511,"No","No","No","No"
6059052514,"No","No","No","No"
6059052515,"No","No","No","No"
6059087101,"No","No","Yes","No"
6059087102,"Yes","No","Yes","No"
6059087103,"No","No","Yes","No"
6059087105,"No","No","Yes","No"
6059087106,"No","No","Yes","No"
6105000200,"No","No","Yes","No"
6105000300,"No","No","Yes","Yes"
6105000400,"No","No","Yes",NA
6023990100,"No","No","No",NA
6023010901,"No","No","Yes","No"
6023010902,"No","No","Yes","No"
6023011500,"No","No","Yes","No"
6023011600,"No","No","Yes","Yes"
6023001300,"No","No","Yes",NA
6077004600,"No","No","No","No"
6077004800,"No","No","No","No"
6077005110,"Yes","No","No","No"
6077005127,"Yes","No","No","No"
6059001402,"Yes","No","Yes","No"
6059001403,"No","No","No","No"
6059001404,"Yes","No","Yes","No"
6059001501,"No","No","No","No"
6059001503,"No","No","No","No"
6059032027,"No","No","No","No"
6059032028,"No","No","No","No"
6059032029,"No","No","No","No"
6059032030,"No","No","No","No"
6059052517,"No","No","No","No"
6075023102,"Yes","No","Yes","Yes"
6075023200,"Yes","No","Yes","No"
6059052518,"No","No","No","No"
6059052519,"No","No","No","No"
6059052520,"No","No","No","No"
6059052521,"No","No","No","No"
6075023300,"Yes","No","Yes","No"
6075022901,"No","No","Yes","No"
6001407000,"No","No","Yes","Yes"
6001407200,"Yes","No","Yes","Yes"
6085504316,"No","No","No","No"
6001407300,"Yes","No","Yes","No"
6001407400,"Yes","No","Yes","Yes"
6001407600,"No","No","Yes","No"
6001407700,"No","No","No","No"
6001407800,"No","No","No","No"
6071007105,"No","No","No","No"
6071002204,"Yes","No","Yes","Yes"
6071009717,"No","No","No","No"
6071940100,"No","No","Yes","Yes"
6071009107,"No","No","Yes","Yes"
6071008705,"No","No","Yes","Yes"
6071008302,"No","No","No","No"
6071004601,"Yes","No","No","No"
6085503324,"No","No","No","No"
6071004503,"No","No","No","No"
6071002301,"Yes","No","No","No"
6071010017,"No","No","No","No"
6071007800,"No","No","Yes","No"
6071007901,"No","No","No","No"
6071001600,"Yes","No","Yes","Yes"
6071011300,"No","No","Yes",NA
6071000111,"No","No","No","No"
6071010023,"No","No","No","No"
6071007407,"Yes","No","Yes","Yes"
6071010409,"No","No","Yes","Yes"
6071009711,"No","No","No","No"
6001423700,"No","No","Yes","No"
6001423800,"No","No","No","No"
6059001504,"No","No","No","No"
6085503509,"No","No","Yes","No"
6071004800,"Yes","No","Yes","Yes"
6071009500,"Yes","No","Yes","Yes"
6071002010,"No","No","No","No"
6001423901,"No","No","No","No"
6001427700,"No","No","No","No"
6059001506,"No","No","No","No"
6059001507,"No","No","No","No"
6059001705,"No","No","No","No"
6059032031,"No","No","No","No"
6059032032,"No","No","No","No"
6059032034,"No","No","No","No"
6059032035,"No","No","No","No"
6059032036,"No","No","No","No"
6059052523,"No","No","No","No"
6059052524,"No","No","No","No"
6059052526,"No","No","No","No"
6059052527,"No","No","No","No"
6059062605,"No","No","No","No"
6071004700,"Yes","No","Yes","Yes"
6071007403,"No","No","No","No"
6085503510,"No","No","Yes","No"
6001427800,"No","No","No","No"
6085504317,"No","No","No","No"
6085504319,"No","No","No","No"
6085504320,"No","No","No","No"
6071009712,"No","No","Yes","Yes"
6071009713,"No","No","No","No"
6071010700,"No","No","Yes","Yes"
6071010024,"No","No","No","No"
6071008301,"No","No","No","No"
6071011800,"No","No","No","No"
6071005100,"No","No","No","No"
6071000109,"No","No","No","No"
6071008901,"No","No","Yes","Yes"
6071010411,"No","No","Yes","Yes"
6071010416,"No","No","Yes","Yes"
6071004504,"No","No","No","No"
6071009400,"Yes","No","Yes","Yes"
6071010300,"Yes","No","Yes","Yes"
6071010022,"No","No","Yes","No"
6071000812,"No","No","No","No"
6071000104,"No","No","No","No"
6071010413,"No","No","Yes","Yes"
6071010415,"No","No","No","Yes"
6071006302,"Yes","No","Yes","Yes"
6071008704,"No","No","No","No"
6071009716,"No","No","Yes","Yes"
6071009708,"No","No","Yes","No"
6071010410,"No","No","Yes","Yes"
6071011600,"No","No","No","No"
6001424001,"No","No","Yes","No"
6001428100,"No","No","No","No"
6001428200,"No","No","No","No"
6085503511,"No","No","No","No"
6085503601,"Yes","No","Yes","Yes"
6085504321,"No","No","No","No"
6085504410,"No","No","Yes","No"
